"Country
",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,no data,no data,no data,no data,no data,no data,no data,no data
Albania,728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,1009.967,717.381,818.32,1032.264,1127.64,1283.573,1425.125,1846.119,2373.58,2673.773,2972.745,3595.053,4370.562,4114.09,4097.833,4439.89,4248.909,4415.6,4584.919,3953.611,4124.405,4525.887,5257.714,5345.058,5268.239,6373.3,6457.217,7058.823,7315.649,7721.155,8154.999,8585.629,9061.091
Algeria,2268.607,2305.505,2254.328,2316.679,2432.717,2753.697,2698.915,2705.111,2143.742,2127.866,2473.512,1819.984,1873.422,1894.946,1542.974,1499.143,1643.265,1658.732,1633.09,1630.071,1794.695,1768.577,1806.86,2128.386,2636.479,3141.027,3508.959,3986.564,4943.502,3890.524,4480.719,5447.6,5575.653,5477.055,5466.329,4153.322,3918.941,4014.707,4106.997,3953.402,3321.601,3659.709,4314.657,4481.005,4522.341,4620.821,4704.004,4728.46,4756.436
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49030.229,51957.313,45713.97,45630.195,46299.282,38877.485,39595.317,40017.741,42229.903,40688.491,36973.845,41873.06,41931.03,44386.988,45363.815,45015.362,44182.206,43388.052,42157.677
Angola,802.627,731.427,712.576,723.654,747.325,817.068,743.735,828.958,875.526,991.295,1062.788,996.472,743.754,522.991,368.84,445.424,555.75,631.28,517.868,474.186,681.129,645.145,872.658,982.806,1254.696,1900.724,2597.964,3121.349,4081.718,3123.699,3586.664,4608.155,5083.827,5228.511,5371.217,4130.93,3468.518,4039.3,3240.858,2612.246,1709.284,2167.605,3399.954,3204.687,3275.646,3338.085,3384.673,3457.702,3553.828
Antigua and Barbuda,1920.249,2177.087,2448.585,2752.968,3200.985,3763.974,4617.61,5455.264,6547.259,7273.247,7623.434,7927.588,8084.427,8474.038,9097.243,8675.237,9266.473,9678.32,10074.75,10349.52,10931.312,10411.422,10485.776,10921.845,11613.334,12785.872,14317.674,16060.877,16574.257,14688.677,13574.44,13295.364,13825.317,13414.902,13980.61,14728.706,15588.535,15686.747,16902.149,17495.76,13997.537,14809.483,16693.288,18244.034,19454.215,20374.542,21075.477,21798.573,22548.474
Argentina,8361.209,6671.428,3257.853,3962.735,4374.783,3248.745,3857.027,3909.984,4524.498,2867.307,4857.796,6429.454,7653.711,7796.24,8378.735,8295.123,8645.455,9196.516,9283.175,8709.072,8638.543,8085.356,2997.621,3761.088,4314.098,5163.55,5976.082,7315.726,9146.79,8337.811,10412.974,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14618.327,11786.433,10054.023,8571.937,10616.947,13655.2,13709.49,13520.4,13326.204,13493.899,13984.385,14489.737
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.321,247.884,196.98,399.576,503.774,521.869,608.415,597.241,620.638,692.287,779.122,923.387,1180.399,1628.063,2128.151,3079.031,3913.436,2911.763,3121.778,3417.172,3575.529,3732.035,3889.004,3529.026,3524,3868.906,4195.963,4596.861,4268.55,4679.46,6583.61,8007.95,8478.45,8859.19,9210.8,9750.338,10466.56
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16548.717,16620.854,17750.489,18825.012,19215.013,20681.023,20740.133,21307.248,21949.486,23700.632,24172.085,24845.658,26736.576,28172.189,25134.771,24084.879,25656.881,25006.763,25813.577,26129.834,27458.205,27441.55,28440.052,29402.691,30850.838,24036.872,28682.797,31934.458,33094.249,34177.958,35297.153,36321.093,37352.356,38412.9
Australia,11009.243,12530.396,12236.71,11593.822,12577.067,10969.322,11246.991,13000.662,16248.553,18206.707,18875.307,18670.328,18117.59,17456.208,19748.8,20920.467,23168.957,23037.512,20388.912,21762.397,20895.397,19486.804,21692.334,27288.987,32853.008,36232.61,37949.097,45180.863,49194.713,45770.5,56579.027,67270.358,68450.314,65200.366,61615.051,51412.25,51813.644,55797.383,56341.937,54266.751,53071.718,63896.297,65526.118,64964.282,64602.667,66302.832,67970.201,70251.2,72142.302
