Country,HPI,Normalised_HPI,HDI,GDP_per_capita,Continent
Costa Rica,62.05755177,0.620575518,0.819,12472.833,North America
Colombia,60.1651675,0.601651675,0.768,6239.274,South America
Switzerland,60.10465034,0.601046503,0.962,92238.988,Europe
Ecuador,58.83121306,0.588312131,0.76,5978.915,South America
Panama,57.93216985,0.579321699,0.817,14664.31,North America
Jamaica,57.90362846,0.579036285,0.719,5354.83,North America
Guatemala,57.87555297,0.57875553,0.642,4743.082,North America
Honduras,57.73411068,0.577341107,0.632,2796.449,North America
Uruguay,57.53003585,0.575300359,0.821,16742.911,South America
New Zealand,57.43448131,0.574344813,0.937,48778.456,Oceania
Philippines,57.10321898,0.57103219,0.718,3576.101,Asia
El Salvador,56.32657529,0.563265753,0.683,4551.161,North America
United Kingdom,55.96785254,0.559678525,0.935,46421.611,Europe
Peru,55.89352023,0.558935202,0.78,6678.85,South America
Nicaragua,55.19364394,0.551936439,0.664,2141.007,North America
Tajikistan,55.15297812,0.551529781,0.676,925.135,Asia
Netherlands,54.94941705,0.549494171,0.943,57996.912,Europe
Dominican Republic,54.84726134,0.548472613,0.771,8961.864,North America
Armenia,54.73393391,0.547339339,0.778,4679.46,Europe
Brazil,54.56892235,0.545689224,0.766,7754.611,South America
Bangladesh,54.46704074,0.544670407,0.644,2497.741,Asia
Mexico,54.33059101,0.54330591,0.779,9869.076,North America
Uzbekistan,54.14126925,0.541412693,0.726,2013.971,Asia
Serbia,53.21580638,0.532158064,0.811,9180.178,Europe
Nepal,53.05560432,0.530556043,0.611,1219.88,Asia
Thailand,52.90452836,0.529045284,0.804,7226.837,Asia
Germany,52.73131728,0.527313173,0.948,51237.643,Europe
Spain,52.3355153,0.523355153,0.908,30133.937,Europe
France,51.81547019,0.518154702,0.905,45185.845,Europe
Mauritius,51.52077767,0.515207777,0.817,9081.704,Africa
Finland,51.2716938,0.512716938,0.939,53595.186,Europe
Senegal,51.19518904,0.51195189,0.513,1606.604,Africa
Ireland,51.14850813,0.511485081,0.942,100144.757,Europe
Albania,51.03309375,0.510330938,0.81,6373.3,Europe
Norway,50.87519275,0.508751928,0.961,90763.532,Europe
Morocco,50.87309546,0.508730955,0.682,3934.31,Africa
Italy,50.69761829,0.506976183,0.897,35842.069,Europe
Sweden,50.50051612,0.505005161,0.947,60929.619,Europe
Argentina,49.98872592,0.499887259,0.852,10616.947,South America
Indonesia,49.59797812,0.495979781,0.716,4362.677,Asia
Cyprus,49.4183661,0.494183661,0.897,31726.19,Europe
Greece,48.81002762,0.488100276,0.889,20135.275,Europe
Israel,48.24342147,0.482434215,0.921,52151.927,Asia
Azerbaijan,48.03454046,0.480345405,0.761,5397.928,Europe
Cambodia,47.96745103,0.47967451,0.598,1679.921,Asia
Iceland,47.95688519,0.479568852,0.96,69287.411,Europe
Slovenia,47.88454788,0.478845479,0.921,29298.411,Europe
Bosnia and Herzegovina,47.78103944,0.477810394,0.783,6793.839,Europe
Paraguay,47.60305593,0.476030559,0.732,5433.251,South America
Japan,47.06372618,0.470637262,0.924,39882.554,Asia
Austria,46.81302886,0.468130289,0.919,53528.707,Europe
Sri Lanka,46.79711602,0.46797116,0.778,4016.024,Asia
Algeria,46.48894951,0.464889495,0.748,3659.709,Africa
Portugal,46.26293284,0.462629328,0.867,24694.112,Europe
Romania,46.21227471,0.462122747,0.832,14874.18,Europe
Croatia,46.20843547,0.462084355,0.861,17759.916,Europe
Liberia,46.0225342,0.460225342,0.484,677.387,Africa
Chile,45.64123987,0.456412399,0.861,16059.804,South America
Singapore,45.54925389,0.455492539,0.943,77710.07,Asia
Hungary,45.44647998,0.4544648,0.853,18687.934,Europe
Denmark,45.32635001,0.4532635,0.946,68202.07,Europe
Iraq,45.27885667,0.452788567,0.696,5015.489,Asia
Kenya,45.18295778,0.451829578,0.581,2215.777,Africa
Pakistan,45.10544179,0.451054418,0.546,1564.434,Asia
Poland,45.0226049,0.450226049,0.881,17957.819,Europe
Uganda,44.76973343,0.447697334,0.525,1011.317,Africa
Yemen,44.62843323,0.446284332,0.461,519.486,Asia
Georgia,44.2727762,0.442727762,0.81,4995.154,Europe
Mozambique,44.18803798,0.44188038,0.456,491.839,Africa
Madagascar,44.1806548,0.441806548,0.51,516.529,Africa
Tunisia,43.92253442,0.439225344,0.745,3884.708,Africa
Jordan,43.85457626,0.438545763,0.727,4460.88,Asia
Malta,43.5028292,0.435028292,0.915,34402.58,Europe
Egypt,43.17843848,0.431784385,0.735,4145.939,Africa
Australia,43.11437338,0.431143734,0.941,63896.297,Oceania
Belarus,42.88780952,0.428878095,0.817,7294.902,Europe
Libya,42.68543403,0.42685434,0.722,5813.324,Africa
Belgium,42.53497245,0.425349725,0.936,51450.593,Europe
Comoros,42.43860389,0.424386039,0.56,1395.028,Africa
Malaysia,41.74073777,0.417407378,0.81,11449.782,Asia
Ethiopia,41.72822439,0.417282244,0.498,974.185,Africa
Saudi Arabia,41.61211706,0.416121171,0.873,25463.654,Asia
Burkina Faso,41.53829397,0.41538294,0.452,891.782,Africa
Benin,41.37151967,0.413715197,0.53,1357.245,Africa
Niger,41.35091295,0.41350913,0.406,593.802,Africa
Montenegro,41.33038029,0.413303803,0.837,9433.03,Europe
Ukraine,40.90280442,0.409028044,0.786,4882.111,Europe
Canada,40.18359249,0.401835925,0.937,52387.812,North America
Bulgaria,40.13077545,0.401307755,0.81,12300.185,Europe
Cameroon,39.90883236,0.399088324,0.583,1667.318,Africa
Gabon,39.86493361,0.398649336,0.709,9482.513,Africa
Sudan,39.60313347,0.396031335,0.514,763.507,Africa
Ghana,39.52473405,0.395247341,0.631,2521.387,Africa
Mali,39.34192686,0.393419269,0.433,896.923,Africa
Rwanda,39.23448403,0.39234484,0.534,854.106,Africa
Lebanon,38.99983124,0.389998312,0.745,no data,Asia
Malawi,38.70654232,0.387065423,0.519,580.387,Africa
Kazakhstan,38.64493232,0.386449323,0.819,10106.663,Asia
Haiti,38.19941901,0.38199419,0.543,1765.242,North America
Guinea,38.06100367,0.380610037,0.467,1128.438,Africa
Burundi,37.69524004,0.3769524,0.431,273.956,Africa
Togo,37.31041453,0.373104145,0.535,973.764,Africa
Lithuania,36.85726815,0.368572682,0.884,23739.08,Europe
