Country,HPI,Normalised_HPI
Costa Rica,62.05755177,0.620575518
Vanuatu,60.36387581,0.603638758
Colombia,60.1651675,0.601651675
Switzerland,60.10465034,0.601046503
Ecuador,58.83121306,0.588312131
Panama,57.93216985,0.579321699
Jamaica,57.90362846,0.579036285
Guatemala,57.87555297,0.57875553
Honduras,57.73411068,0.577341107
Uruguay,57.53003585,0.575300359
New Zealand,57.43448131,0.574344813
Philippines,57.10321898,0.57103219
El Salvador,56.32657529,0.563265753
United Kingdom,55.96785254,0.559678525
Peru,55.89352023,0.558935202
Nicaragua,55.19364394,0.551936439
Tajikistan,55.15297812,0.551529781
Netherlands,54.94941705,0.549494171
Dominican Republic,54.84726134,0.548472613
Armenia,54.73393391,0.547339339
Brazil,54.56892235,0.545689224
Bangladesh,54.46704074,0.544670407
Mexico,54.33059101,0.54330591
Uzbekistan,54.14126925,0.541412693
Kyrgyzstan,53.70421002,0.5370421
Serbia,53.21580638,0.532158064
Nepal,53.05560432,0.530556043
Thailand,52.90452836,0.529045284
Germany,52.73131728,0.527313173
Spain,52.3355153,0.523355153
France,51.81547019,0.518154702
Mauritius,51.52077767,0.515207777
Finland,51.2716938,0.512716938
Senegal,51.19518904,0.51195189
Ireland,51.14850813,0.511485081
Albania,51.03309375,0.510330938
Moldova,50.96889516,0.509688952
Norway,50.87519275,0.508751928
Morocco,50.87309546,0.508730955
Italy,50.69761829,0.506976183
Sweden,50.50051612,0.505005161
"Palestine, State of",50.25928365,0.502592837
Argentina,49.98872592,0.499887259
Indonesia,49.59797812,0.495979781
Cyprus,49.4183661,0.494183661
Venezuela,48.94059614,0.489405961
Greece,48.81002762,0.488100276
Vietnam,48.44459745,0.484445975
Israel,48.24342147,0.482434215
Azerbaijan,48.03454046,0.480345405
Cambodia,47.96745103,0.47967451
Iceland,47.95688519,0.479568852
Slovenia,47.88454788,0.478845479
Bosnia and Herzegovina,47.78103944,0.477810394
Paraguay,47.60305593,0.476030559
Congo (Brazzaville),47.15744747,0.471574475
Japan,47.06372618,0.470637262
Czech Republic,46.8144963,0.468144963
Austria,46.81302886,0.468130289
Sri Lanka,46.79711602,0.46797116
Slovakia,46.57431406,0.465743141
Algeria,46.48894951,0.464889495
Portugal,46.26293284,0.462629328
Romania,46.21227471,0.462122747
Croatia,46.20843547,0.462084355
Liberia,46.0225342,0.460225342
Chile,45.64123987,0.456412399
Singapore,45.54925389,0.455492539
Hungary,45.44647998,0.4544648
Denmark,45.32635001,0.4532635
Iraq,45.27885667,0.452788567
Kenya,45.18295778,0.451829578
Pakistan,45.10544179,0.451054418
Poland,45.0226049,0.450226049
Bolivia,44.99913781,0.449991378
Uganda,44.76973343,0.447697334
Yemen,44.62843323,0.446284332
Georgia,44.2727762,0.442727762
Mozambique,44.18803798,0.44188038
Madagascar,44.1806548,0.441806548
Tunisia,43.92253442,0.439225344
North Macedonia,43.85874421,0.438587442
Jordan,43.85457626,0.438545763
Iran,43.632488,0.43632488
Malta,43.5028292,0.435028292
Egypt,43.17843848,0.431784385
Taiwan,43.15363214,0.431536321
Australia,43.11437338,0.431143734
Belarus,42.88780952,0.428878095
Laos,42.78420143,0.427842014
Libya,42.68543403,0.42685434
Belgium,42.53497245,0.425349725
Comoros,42.43860389,0.424386039
China,41.88879499,0.41888795
Malaysia,41.74073777,0.417407378
Ethiopia,41.72822439,0.417282244
Saudi Arabia,41.61211706,0.416121171
Burkina Faso,41.53829397,0.41538294
Benin,41.37151967,0.413715197
Niger,41.35091295,0.41350913
Montenegro,41.33038029,0.413303803
Turkey,41.28234798,0.41282348
Ukraine,40.90280442,0.409028044
Congo (Kinshasa),40.52924206,0.405292421
Canada,40.18359249,0.401835925
Bulgaria,40.13077545,0.401307755
Myanmar,40.04479079,0.400447908
Cameroon,39.90883236,0.399088324
Gabon,39.86493361,0.398649336
South Korea,39.81907149,0.398190715
Cote d'Ivoire,39.64587173,0.396458717
Sudan,39.60313347,0.396031335
Ghana,39.52473405,0.395247341
Mali,39.34192686,0.393419269
Rwanda,39.23448403,0.39234484
Lebanon,38.99983124,0.389998312
Malawi,38.70654232,0.387065423
Kazakhstan,38.64493232,0.386449323
Haiti,38.19941901,0.38199419
Guinea,38.06100367,0.380610037
Burundi,37.69524004,0.3769524
United States of America,37.44571593,0.374457159
Togo,37.31041453,0.373104145
Tanzania,36.95833825,0.369583383
Lithuania,36.85726815,0.368572682
Namibia,36.80911639,0.368091164
Bhutan,36.67282917,0.366728292
India,36.37213182,0.363721318
South Africa,36.20526477,0.362052648
Eswatini,35.34532956,0.353453296
Russia,34.92504653,0.349250465
Mauritania,34.66241836,0.346624184
Estonia,34.44290255,0.344429026
Zambia,34.41091087,0.344109109
United Arab Emirates,34.30856703,0.34308567
Latvia,34.14497266,0.341449727
Nigeria,34.13821364,0.341382136
Hong Kong,33.8906582,0.338906582
Bahrain,33.5929738,0.335929738
Kuwait,33.32497187,0.333249719
Turkmenistan,32.95738249,0.329573825
Botswana,31.85112214,0.318511221
Luxembourg,31.72336953,0.317233695
Trinidad and Tobago,31.61280299,0.31612803
Chad,30.36278983,0.303627898
Afghanistan,29.40920321,0.294092032
Sierra Leone,29.01673937,0.290167394
Zimbabwe,28.64019133,0.286401913
Lesotho,27.30855036,0.273085504
Central African Republic,25.21146334,0.252114633
Mongolia,24.46703662,0.244670366
Qatar,24.32655376,0.243265538
