Country,Code,Year,Average_Education,Life_Expectancy,GNI_per_capita,GDP_per_capita,Normalised_Average_Education,Normalised_Life_Expectancy
Albania,ALB,2015,9.99,78.6441,12018.466,3953.611,99900,78644.1
Albania,ALB,2000,9.93,75.4043,6066.2896,1127.64,99300,75404.3
Albania,ALB,2005,10.24,76.6208,8199.473,2673.773,102400,76620.8
Albania,ALB,2010,10.44,77.9359,10644.978,4097.833,104400,77935.9
Algeria,DZA,2015,7.55,75.622,11475.065,4153.322,75500,75622
Algeria,DZA,2020,8.18,74.4528,10639.853,3321.601,81800,74452.8
Algeria,DZA,1990,5.05,67.416,8592.763,2473.512,50500,67416
Algeria,DZA,1995,5.76,67.4544,7737.8784,1499.143,57600,67454.4
Algeria,DZA,2000,6.06,70.4779,8459.649,1794.695,60600,70477.9
Algeria,DZA,2005,6.43,72.0612,10106.237,3141.027,64300,72061.2
Algeria,DZA,2010,7,73.8081,10955.314,4480.719,70000,73808.1
Argentina,ARG,2015,9.59,76.7602,23506.88,14895.316,95900,76760.2
Argentina,ARG,2020,9.86,75.8921,19183.115,8571.937,98600,75892.1
Argentina,ARG,1990,8.67,71.7837,13588.677,4857.796,86700,71783.7
Argentina,ARG,1995,8.91,73.1333,17032.72,8295.123,89100,73133.3
Argentina,ARG,2000,9.08,73.926,18080.926,8638.543,90800,73926
Argentina,ARG,2005,9.57,75.1388,17191.188,5163.55,95700,75138.8
Argentina,ARG,2010,9.71,75.7208,22733.143,10412.974,97100,75720.8
Armenia,ARM,2015,10.45,74.4361,11966.456,3529.026,104500,74436.1
Armenia,ARM,2020,10.54,72.173,13181.649,4268.55,105400,72173
Australia,AUS,2015,12.92,82.6552,46275.902,51412.25,129200,82655.2
Australia,AUS,2020,12.93,84.3239,48543.332,53071.718,129300,84323.9
Australia,AUS,1990,11.44,77.0443,27670.156,18875.307,114400,77044.3
Australia,AUS,1995,11.51,78.2619,29042.453,20920.467,115100,78261.9
Australia,AUS,2000,11.37,79.6309,34345.02,20895.397,113700,79630.9
Australia,AUS,2005,11.71,81.1126,39293.293,36232.61,117100,81112.6
Australia,AUS,2010,11.69,82.055,43446.445,56579.027,116900,82055
Austria,AUT,2015,10.27,81.1594,52450.24,44267.809,102700,81159.4
Austria,AUT,2020,10.39,81.5036,52265.707,48857.083,103900,81503.6
Austria,AUT,1995,8.93,76.7766,41623.426,30350.529,89300,76776.6
Austria,AUT,2000,9.43,78.2358,47031.3,24636.471,94300,78235.8
Austria,AUT,2005,9.89,79.521,50119.41,38450.609,98900,79521
Austria,AUT,2010,10.13,80.4643,52538.42,46955.173,101300,80464.3
Bahrain,BHR,2015,7.82,79.4046,45765.105,22659.374,78200,79404.6
Bahrain,BHR,2020,8.21,79.1735,44654.832,23517.244,82100,79173.5
Bangladesh,BGD,2015,6.76,70.4913,4615.4756,1495.538,67600,70491.3
Bangladesh,BGD,2020,7.23,71.9678,5822.8013,2270.348,72300,71967.8
Bangladesh,BGD,1990,3.15,55.9886,1771.6886,398.05,31500,55988.6
Bangladesh,BGD,1995,3.72,59.4673,2028.4772,450.133,37200,59467.3
Bangladesh,BGD,2000,4.77,65.7791,2342.4873,483.217,47700,65779.1
Bangladesh,BGD,2005,5.51,67.2992,2784.3909,572.014,55100,67299.2
Bangladesh,BGD,2010,6.22,68.6384,3673.457,935.755,62200,68638.4
Belgium,BEL,2015,11.36,80.8898,50027.992,41147.261,113600,80889.8
Belgium,BEL,2020,11.57,80.7884,49769.883,45545.134,115700,80788.4
Belgium,BEL,1995,10.64,76.8385,40409.008,28458.469,106400,76838.5
Belgium,BEL,2000,10.95,77.7665,45184.555,23136.511,109500,77766.5
Belgium,BEL,2005,11.11,79.0526,47530.83,36945.499,111100,79052.6
Belgium,BEL,2010,11.29,80.033,48513.06,44448.17,112900,80033
Belize,BLZ,2015,10.56,73.1866,9002.695,6001.658,105600,73186.6
Belize,BLZ,2020,10.71,72.854,7500.307,4935.56,107100,72854
Belize,BLZ,1990,8.97,70.7437,6293.162,2907.089,89700,70743.7
Belize,BLZ,1995,9.62,69.8874,7440.956,3781.398,96200,69887.4
Belize,BLZ,2000,10.19,68.5645,8276.975,4468.235,101900,68564.5
Belize,BLZ,2005,10.77,69.3757,8908.249,5153.514,107700,69375.7
Belize,BLZ,2010,11.28,72.2716,8313.385,5392.038,112800,72271.6
Benin,BEN,2015,5.42,59.3771,2826.6958,1041.758,54200,59377.1
Benin,BEN,2020,6.27,60.088,3153.23,1237.79,62700,60088
Benin,BEN,1990,2.24,53.2918,2068.8284,562.898,22400,53291.8
Benin,BEN,1995,2.73,55.2947,2157.8914,495.048,27300,55294.7
Benin,BEN,2000,3.31,56.5779,2423.3015,503.22,33100,56577.9
Benin,BEN,2005,3.85,57.1252,2522.06,806.35,38500,57125.2
Benin,BEN,2010,4.57,58.3627,2619.7112,1010.314,45700,58362.7
Bolivia,BOL,2015,8.62,67.3182,7564.8384,3069.319,86200,67318.2
Bolivia,BOL,2020,9.06,64.4667,7592.0796,3172.556,90600,64466.7
Bolivia,BOL,1990,7.63,56.4221,4210.134,723.431,76300,56422.1
Bolivia,BOL,1995,8.09,59.5337,4764.6357,886.368,80900,59533.7
Bolivia,BOL,2000,8.73,62.3461,5168.399,994.617,87300,62346.1
Bolivia,BOL,2005,8.77,64.3856,5432.849,1037.176,87700,64385.6
Bolivia,BOL,2010,8.57,66.1624,6184.5845,1972.684,85700,66162.4
Botswana,BWA,2015,10.27,63.8183,13220.018,5869.738,102700,63818.3
Botswana,BWA,2020,10.58,65.6471,13255.79,5863.182,105800,65647.1
Brazil,BRA,2015,7.66,74.3325,14730.502,8846.476,76600,74332.5
Brazil,BRA,2020,8,74.0089,13725.025,6970.719,80000,74008.9
Brazil,BRA,1990,4.94,65.9848,10129.833,3106.116,49400,65984.8
Brazil,BRA,1995,5.79,67.9191,10994.005,4851.99,57900,67919.1
Brazil,BRA,2000,6.76,69.7367,11202.453,3772.05,67600,69736.7
Brazil,BRA,2005,7.67,71.7533,12166.438,4819.872,76700,71753.3
Brazil,BRA,2010,8.17,73.1821,14363.29,11333.023,81700,73182.1
Bulgaria,BGR,2015,10.71,74.6325,19379.15,7098.587,107100,74632.5
Bulgaria,BGR,2020,10.75,73.6453,21656.8,10170.723,107500,73645.3
Bulgaria,BGR,1995,9.31,71.0024,11113.731,1958.07,93100,71002.4
Bulgaria,BGR,2000,9.65,71.6091,10282.065,1625.322,96500,71609.1
Bulgaria,BGR,2005,10.61,72.5924,14828.08,3869.588,106100,72592.4
Bulgaria,BGR,2010,11.07,73.8348,17802.293,6753.335,110700,73834.8
Burundi,BDI,2015,4.3,60.2172,781.6238,304.243,43000,60217.2
Burundi,BDI,2020,5.05,61.5663,715.9824,259.906,50500,61566.3
Cambodia,KHM,2015,5.32,69.8725,3370.6858,1203.435,53200,69872.5
