Country,year,gdp
Africa (Region),1980,no data
Asia and Pacific,1980,966.343
Europe,1980,8991.406
North America,1980,10457.985
South America,1980,2455.846
Africa (Region),1981,no data
Asia and Pacific,1981,1014.653
Europe,1981,8059.436
North America,1981,11686.633
South America,1981,2410.914
Africa (Region),1982,no data
Asia and Pacific,1982,968.57
Europe,1982,7781.135
North America,1982,11731.442
South America,1982,1997.967
Africa (Region),1983,no data
Asia and Pacific,1983,1010.987
Europe,1983,7560.86
North America,1983,12418.412
South America,1983,1833.66
Africa (Region),1984,no data
Asia and Pacific,1984,1053.728
Europe,1984,7248.599
North America,1984,13601.14
South America,1984,1759.648
Africa (Region),1985,no data
Asia and Pacific,1985,1054.782
Europe,1985,7487.701
North America,1985,14385.174
South America,1985,1904.075
Africa (Region),1986,no data
Asia and Pacific,1986,1316.64
Europe,1986,10054.496
North America,1986,14755.961
South America,1986,2107.458
Africa (Region),1987,no data
Asia and Pacific,1987,1534.652
Europe,1987,12322.439
North America,1987,15564.767
South America,1987,2193.205
Africa (Region),1988,no data
Asia and Pacific,1988,1798.673
Europe,1988,13747.118
North America,1988,16773.882
South America,1988,2397.639
Africa (Region),1989,no data
Asia and Pacific,1989,1836.186
Europe,1989,no data
North America,1989,17980.238
South America,1989,2577.884
Africa (Region),1990,1084.136
Asia and Pacific,1990,1880.694
Europe,1990,no data
North America,1990,18830.47
South America,1990,2791.738
Africa (Region),1991,973.911
Asia and Pacific,1991,2038.38
Europe,1991,no data
North America,1991,19291.838
South America,1991,2813.808
Africa (Region),1992,946.132
Asia and Pacific,1992,2151.619
Europe,1992,13240.859
North America,1992,20088.555
South America,1992,2957.19
Africa (Region),1993,921.085
Asia and Pacific,1993,2385.483
Europe,1993,12162.859
North America,1993,20918.945
South America,1993,3139.093
Africa (Region),1994,880.654
Asia and Pacific,1994,2542.832
Europe,1994,13067.93
North America,1994,21835.939
South America,1994,3674.372
Africa (Region),1995,1022.837
Asia and Pacific,1995,2846.261
Europe,1995,14817.76
North America,1995,22106.304
South America,1995,4521.642
Africa (Region),1996,1114.108
Asia and Pacific,1996,2736.783
Europe,1996,15165.296
North America,1996,23123.812
South America,1996,4744.876
Africa (Region),1997,1127.871
Asia and Pacific,1997,2595.339
Europe,1997,14209.406
North America,1997,24384.272
South America,1997,4968.549
Africa (Region),1998,1113.742
Asia and Pacific,1998,2285.972
Europe,1998,14454.058
North America,1998,25313.179
South America,1998,4831.358
Africa (Region),1999,899.952
Asia and Pacific,1999,2506.556
Europe,1999,14366.87
North America,1999,26696.554
South America,1999,3841.157
Africa (Region),2000,900.033
Asia and Pacific,2000,2649.714
Europe,2000,13502.763
North America,2000,28313.075
South America,2000,3997.145
Africa (Region),2001,851.028
Asia and Pacific,2001,2441.665
Europe,2001,13733.294
North America,2001,28914.37
