Country,Year,GDP_per_capita
World,1980,2864.287
World,1981,2878.537
World,1982,2774.773
World,1983,2799.945
World,1984,2849.792
World,1985,2923.55
World,1986,3380.329
World,1987,3824.6
World,1988,4226.757
World,1989,4368.787
World,1990,4694.939
World,1991,4824.813
World,1992,4800.699
World,1993,4854.935
World,1994,5132.282
World,1995,5627.723
World,1996,5695.635
World,1997,5592.218
World,1998,5447.272
World,1999,5567.93
World,2000,5671.498
World,2001,5558.503
World,2002,5652.397
World,2003,6244.812
World,2004,6942.17
World,2005,7427.372
World,2006,7945.998
World,2007,8860.108
World,2008,9599.56
World,2009,8984.296
World,2010,9710.822
World,2011,10674.104
World,2012,10727.664
World,2013,10903.452
World,2014,11057.247
World,2015,10312.235
World,2016,10360.64
World,2017,10885.94
World,2018,11420.565
World,2019,11472.028
World,2020,11048.299
World,2021,12478.511
World,2022,12875.438
World,2023,13439.982
World,2024,13969.116
World,2025,14548.859
World,2026,15152.769
World,2027,15754.554
World,2028,16383.737
